day,cumulative_pnl,daily_pnl
0,0.0,0.0
1,0.0,0.0
2,-2.3799999999999955,-2.3799999999999955
3,-2.3799999999999955,0.0
4,-2.3799999999999955,0.0
5,-2.3799999999999955,0.0
6,-2.3799999999999955,0.0
7,-2.3799999999999955,0.0
8,-2.3799999999999955,0.0
9,-2.3799999999999955,0.0
10,-2.3799999999999955,0.0
11,-2.3799999999999955,0.0
12,-2.3799999999999955,0.0
13,-2.3799999999999955,0.0
14,-2.3799999999999955,0.0
15,-2.3799999999999955,0.0
16,-2.3799999999999955,0.0
17,-2.3799999999999955,0.0
18,-2.3799999999999955,0.0
19,-2.3799999999999955,0.0
20,-2.3799999999999955,0.0
21,-2.3799999999999955,0.0
22,-2.3799999999999955,0.0
23,-2.3799999999999955,0.0
24,-104.78999999999999,-102.41
25,-104.78999999999999,0.0
26,-104.78999999999999,0.0
27,-104.78999999999999,0.0
28,-104.78999999999999,0.0
29,-104.78999999999999,0.0
30,-104.78999999999999,0.0
31,-104.78999999999999,0.0
32,-104.78999999999999,0.0
33,-104.78999999999999,0.0
34,-104.78999999999999,0.0
35,-104.78999999999999,0.0
36,-104.78999999999999,0.0
37,-104.78999999999999,0.0
38,-104.78999999999999,0.0
39,-104.78999999999999,0.0
40,-104.78999999999999,0.0
41,-104.78999999999999,0.0
42,-104.78999999999999,0.0
43,-104.78999999999999,0.0
44,-41.11999999999996,63.67000000000003
45,-41.11999999999996,0.0
46,-41.11999999999996,0.0
47,-41.11999999999996,0.0
48,-41.11999999999996,0.0
49,-41.11999999999996,0.0
50,-41.11999999999996,0.0
51,-41.11999999999996,0.0
52,-41.11999999999996,0.0
53,-41.11999999999996,0.0
54,-41.11999999999996,0.0
55,-41.11999999999996,0.0
56,-50.78999999999998,-9.670000000000016
57,-50.78999999999998,0.0
58,-50.78999999999998,0.0
59,-50.78999999999998,0.0
60,-50.78999999999998,0.0
61,-50.78999999999998,0.0
62,-50.78999999999998,0.0
63,-50.78999999999998,0.0
64,-50.78999999999998,0.0
65,-52.839999999999975,-2.049999999999997
66,-52.839999999999975,0.0
67,-52.839999999999975,0.0
68,-52.839999999999975,0.0
69,-52.839999999999975,0.0
70,-52.839999999999975,0.0
71,-14.139999999999958,38.70000000000002
72,-14.139999999999958,0.0
73,-14.139999999999958,0.0
74,-14.139999999999958,0.0
75,-14.139999999999958,0.0
76,-14.139999999999958,0.0
77,-14.139999999999958,0.0
78,-14.139999999999958,0.0
79,-14.139999999999958,0.0
80,-14.139999999999958,0.0
81,-14.139999999999958,0.0
82,-14.139999999999958,0.0
83,-14.139999999999958,0.0
84,-14.139999999999958,0.0
85,-14.139999999999958,0.0
86,-14.139999999999958,0.0
87,-27.949999999999946,-13.809999999999988
88,-27.949999999999946,0.0
89,-27.949999999999946,0.0
90,-27.949999999999946,0.0
91,-27.949999999999946,0.0
92,-27.949999999999946,0.0
93,-27.949999999999946,0.0
94,-27.949999999999946,0.0
95,-27.949999999999946,0.0
96,-27.949999999999946,0.0
97,-27.949999999999946,0.0
98,-27.949999999999946,0.0
99,-27.949999999999946,0.0
100,-27.949999999999946,0.0
101,-27.949999999999946,0.0
102,-27.949999999999946,0.0
103,-27.949999999999946,0.0
104,-27.949999999999946,0.0
105,-27.949999999999946,0.0
106,-27.949999999999946,0.0
107,-27.949999999999946,0.0
108,-27.949999999999946,0.0
109,-81.69999999999992,-53.74999999999997
110,-81.69999999999992,0.0
111,-81.69999999999992,0.0
112,-81.69999999999992,0.0
113,-81.69999999999992,0.0
114,-81.69999999999992,0.0
115,-81.69999999999992,0.0
116,-81.69999999999992,0.0
117,-81.69999999999992,0.0
118,-81.69999999999992,0.0
119,-81.69999999999992,0.0
120,-81.69999999999992,0.0
121,-81.69999999999992,0.0
122,-81.69999999999992,0.0
123,-81.69999999999992,0.0
124,-81.69999999999992,0.0
125,-81.69999999999992,0.0
126,-81.69999999999992,0.0
127,-81.69999999999992,0.0
128,-81.69999999999992,0.0
129,-81.69999999999992,0.0
130,-69.76999999999991,11.930000000000007
131,-69.76999999999991,0.0
132,-69.76999999999991,0.0
133,-69.76999999999991,0.0
134,-69.76999999999991,0.0
135,-69.76999999999991,0.0
136,-69.76999999999991,0.0
137,-69.76999999999991,0.0
138,-69.76999999999991,0.0
139,-69.76999999999991,0.0
140,-69.76999999999991,0.0
141,-69.76999999999991,0.0
142,-69.76999999999991,0.0
143,-69.76999999999991,0.0
144,-69.76999999999991,0.0
145,-69.76999999999991,0.0
146,-69.76999999999991,0.0
147,-69.76999999999991,0.0
148,-69.76999999999991,0.0
149,-69.76999999999991,0.0
150,-69.76999999999991,0.0
151,-69.76999999999991,0.0
152,-69.76999999999991,0.0
153,-19.170000000000044,50.599999999999866
154,-19.170000000000044,0.0
155,-19.170000000000044,0.0
156,-19.170000000000044,0.0
157,-19.170000000000044,0.0
158,-19.170000000000044,0.0
159,-19.170000000000044,0.0
160,-19.170000000000044,0.0
161,9.879999999999953,29.049999999999997
